relation_id,:START_ID,:END_ID,:TYPE,source_name,target_name,source_type,target_type,source_file,evidence,tier,confidence,notes
R00032,E0180,E0142,Located_In,고슬라르,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00033,E0181,E0142,Located_In,Langenfeld,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00034,E0182,E0144,Located_In,아이치,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00035,E0183,E0144,Located_In,기후,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00036,E0184,E0144,Located_In,도카이시,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00037,E0185,E0144,Located_In,니하마,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00038,E0186,E0144,Located_In,이치노세키,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00039,E0187,E0144,Located_In,고리야마시,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00040,E0188,E0144,Located_In,기타큐슈,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00041,E0189,E0144,Located_In,치바,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00042,E0190,E0144,Located_In,후쿠야마,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00043,E0191,E0144,Located_In,나고야,일본,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00044,E0192,E0142,Located_In,바르셀로나,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00045,E0193,E0142,Located_In,부르고스,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00046,E0194,E0146,Located_In,시비우,루마니아,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00047,E0195,E0147,Located_In,라용,태국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00048,E0196,E0148,Located_In,울산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00049,E0197,E0148,Located_In,진천,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00050,E0198,E0148,Located_In,창원,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00051,E0199,E0148,Located_In,대구,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00052,E0200,E0148,Located_In,아산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00053,E0201,E0148,Located_In,안양,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00054,E0202,E0148,Located_In,화성,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00055,E0203,E0148,Located_In,평택,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00056,E0204,E0148,Located_In,천안,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00057,E0205,E0148,Located_In,서산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00058,E0206,E0148,Located_In,광주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00059,E0207,E0148,Located_In,충주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00060,E0208,E0148,Located_In,김천,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00061,E0209,E0148,Located_In,안산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00062,E0210,E0148,Located_In,원주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00063,E0211,E0148,Located_In,익산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00064,E0212,E0148,Located_In,인천,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00065,E0213,E0148,Located_In,경주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00066,E0214,E0148,Located_In,군포,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00067,E0215,E0148,Located_In,양산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00068,E0216,E0148,Located_In,부산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00069,E0217,E0148,Located_In,청주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00070,E0218,E0148,Located_In,군산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00071,E0219,E0148,Located_In,고령,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00072,E0220,E0148,Located_In,시흥,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00073,E0221,E0148,Located_In,영천,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00074,E0222,E0148,Located_In,예산,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00075,E0223,E0148,Located_In,이천,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00076,E0224,E0148,Located_In,칠곡,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00077,E0225,E0148,Located_In,성주,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00078,E0226,E0141,Located_In,수원,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00079,E0227,E0148,Located_In,세종,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00080,E0228,E0148,Located_In,동해,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00081,E0232,E0148,Located_In,당진,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00082,E0229,E0148,Located_In,포항,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00083,E0231,E0148,Located_In,구미,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00084,E0230,E0148,Located_In,음성,한국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00085,E0040,E0141,Located_In,현대모비스,중국,Supplier,Country,자동차공급망_편집,현대모비스 / 카스테레오 / Tier 1,1,confirmed,
R00086,E0040,E0149,Located_In,현대모비스,장쑤,Supplier,Region,자동차공급망_편집,현대모비스 / 카스테레오 / Tier 1,1,confirmed,
R00087,E0149,E0141,Located_In,장쑤,중국,Region,Country,자동차공급망_편집,공장위치 장쑤,1,confirmed,
R00088,E0040,E0001,Supplies,현대모비스,Hyundai,Supplier,Company,자동차공급망_편집,현대모비스 / 카스테레오 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00089,E0040,E0082,Produces,현대모비스,카스테레오,Supplier,Product,자동차공급망_편집,현대모비스 / 카스테레오 / Tier 1,1,confirmed,
R00090,E0082,E0305,Requires_Material,카스테레오,주석,Product,Material,자동차공급망_편집,현대모비스 / 카스테레오 / Tier 1,1,confirmed,
R00091,E0006,E0040,Supplies,Yunnan Tin,현대모비스,Supplier,Supplier,자동차공급망_편집,Ynnan tin -> 현대모비스,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00092,E0350,E0333,Shipped_From,중국 동부-한국 자동차부품 항로,상하이항,Route,Port,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00093,E0350,E0334,Shipped_To,중국 동부-한국 자동차부품 항로,부산항,Route,Port,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00094,E0350,E0362,Passes_Through,중국 동부-한국 자동차부품 항로,동중국해,Route,SeaRegion,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00095,E0065,E0141,Located_In,한온시스템,중국,Supplier,Country,자동차공급망_편집,한온시스템 / 에어컨 / Tier 1,1,confirmed,
R00096,E0065,E0150,Located_In,한온시스템,충칭,Supplier,Region,자동차공급망_편집,한온시스템 / 에어컨 / Tier 1,1,confirmed,
R00097,E0150,E0141,Located_In,충칭,중국,Region,Country,자동차공급망_편집,공장위치 충칭,1,confirmed,
R00098,E0065,E0001,Supplies,한온시스템,Hyundai,Supplier,Company,자동차공급망_편집,한온시스템 / 에어컨 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00099,E0065,E0085,Produces,한온시스템,에어컨,Supplier,Product,자동차공급망_편집,한온시스템 / 에어컨 / Tier 1,1,confirmed,
R00100,E0351,E0333,Shipped_From,중국 내륙-한국 자동차부품 항로,상하이항,Route,Port,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00101,E0351,E0334,Shipped_To,중국 내륙-한국 자동차부품 항로,부산항,Route,Port,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00102,E0351,E0362,Passes_Through,중국 내륙-한국 자동차부품 항로,동중국해,Route,SeaRegion,자동차공급망_편집,상하이항 → 동중국해 → 부산항 → 울산 현대차 공장,1,confirmed,
R00103,E0043,E0141,Located_In,현대위아,중국,Supplier,Country,자동차공급망_편집,현대위아 / 차륜 / Tier 1,1,confirmed,
R00104,E0043,E0151,Located_In,현대위아,산둥,Supplier,Region,자동차공급망_편집,현대위아 / 차륜 / Tier 1,1,confirmed,
R00105,E0151,E0141,Located_In,산둥,중국,Region,Country,자동차공급망_편집,공장위치 산둥,1,confirmed,
R00106,E0043,E0001,Supplies,현대위아,Hyundai,Supplier,Company,자동차공급망_편집,현대위아 / 차륜 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00107,E0043,E0090,Produces,현대위아,차륜,Supplier,Product,자동차공급망_편집,현대위아 / 차륜 / Tier 1,1,confirmed,
R00108,E0352,E0335,Shipped_From,중국 산둥-한국 자동차부품 항로,칭다오항,Route,Port,자동차공급망_편집,칭다오항 → 황해 → 평택항 → 울산 현대차 공장,1,confirmed,
R00109,E0352,E0336,Shipped_To,중국 산둥-한국 자동차부품 항로,평택항,Route,Port,자동차공급망_편집,칭다오항 → 황해 → 평택항 → 울산 현대차 공장,1,confirmed,
R00110,E0352,E0363,Passes_Through,중국 산둥-한국 자동차부품 항로,황해,Route,SeaRegion,자동차공급망_편집,칭다오항 → 황해 → 평택항 → 울산 현대차 공장,1,confirmed,
R00111,E0002,E0141,Located_In,Yanfeng Automotive,중국,Supplier,Country,자동차공급망_편집,Yanfeng Automotive / 기타차량부품 / Tier 1,1,confirmed,
R00112,E0002,E0152,Located_In,Yanfeng Automotive,상하이,Supplier,Region,자동차공급망_편집,Yanfeng Automotive / 기타차량부품 / Tier 1,1,confirmed,
R00113,E0152,E0141,Located_In,상하이,중국,Region,Country,자동차공급망_편집,공장위치 상하이,1,confirmed,
R00114,E0002,E0001,Supplies,Yanfeng Automotive,Hyundai,Supplier,Company,자동차공급망_편집,Yanfeng Automotive / 기타차량부품 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00115,E0002,E0139,Produces,Yanfeng Automotive,기타 차량 부품,Supplier,Product,자동차공급망_편집,Yanfeng Automotive / 기타차량부품 / Tier 1,1,confirmed,
R00116,E0053,E0141,Located_In,경신,중국,Supplier,Country,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,
R00117,E0053,E0153,Located_In,경신,옌타이,Supplier,Region,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,
R00118,E0153,E0141,Located_In,옌타이,중국,Region,Country,자동차공급망_편집,공장위치 옌타이,1,confirmed,
R00119,E0053,E0001,Supplies,경신,Hyundai,Supplier,Company,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00120,E0053,E0087,Produces,경신,와이어링 하니스,Supplier,Product,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,
R00121,E0087,E0234,Requires_Material,와이어링 하니스,구리,Product,Material,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,
R00122,E0087,E0305,Requires_Material,와이어링 하니스,주석,Product,Material,자동차공급망_편집,경신 / 와이어링 하니스 / Tier 1,1,confirmed,
R00123,E0006,E0053,Supplies,Yunnan Tin,경신,Supplier,Supplier,자동차공급망_편집,Yunnan Tin -> 경신,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00124,E0007,E0053,Supplies,jiangxi copper,경신,Supplier,Supplier,자동차공급망_편집,jiangxi copper -> 경신,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00125,E0040,E0141,Located_In,현대모비스,중국,Supplier,Country,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00126,E0040,E0154,Located_In,현대모비스,베이징,Supplier,Region,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00127,E0154,E0141,Located_In,베이징,중국,Region,Country,자동차공급망_편집,공장위치 베이징,1,confirmed,
R00128,E0040,E0001,Supplies,현대모비스,Hyundai,Supplier,Company,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00129,E0040,E0089,Produces,현대모비스,에어백 모듈,Supplier,Product,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00130,E0040,E0088,Produces,현대모비스,에어백,Supplier,Product,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00131,E0089,E0238,Requires_Material,에어백 모듈,금,Product,Material,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00132,E0088,E0238,Requires_Material,에어백,금,Product,Material,자동차공급망_편집,현대모비스 / 에어백모듈 / Tier 1,1,confirmed,
R00133,E0353,E0337,Shipped_From,중국 화북-한국 자동차부품 항로,톈진항,Route,Port,자동차공급망_편집,톈진항 → 황해 → 인천항 → 울산 현대차 공장,1,confirmed,
R00134,E0353,E0338,Shipped_To,중국 화북-한국 자동차부품 항로,인천항,Route,Port,자동차공급망_편집,톈진항 → 황해 → 인천항 → 울산 현대차 공장,1,confirmed,
R00135,E0353,E0363,Passes_Through,중국 화북-한국 자동차부품 항로,황해,Route,SeaRegion,자동차공급망_편집,톈진항 → 황해 → 인천항 → 울산 현대차 공장,1,confirmed,
R00136,E0047,E0141,Located_In,현대트랜시스,중국,Supplier,Country,자동차공급망_편집,현대트랜시스 / 구동차축 / Tier 1,1,confirmed,
R00137,E0047,E0155,Located_In,현대트랜시스,창춘,Supplier,Region,자동차공급망_편집,현대트랜시스 / 구동차축 / Tier 1,1,confirmed,
R00138,E0155,E0141,Located_In,창춘,중국,Region,Country,자동차공급망_편집,공장위치 창춘,1,confirmed,
R00139,E0047,E0001,Supplies,현대트랜시스,Hyundai,Supplier,Company,자동차공급망_편집,현대트랜시스 / 구동차축 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00140,E0047,E0092,Produces,현대트랜시스,구동차축,Supplier,Product,자동차공급망_편집,현대트랜시스 / 구동차축 / Tier 1,1,confirmed,
R00141,E0092,E0235,Requires_Material,구동차축,망간,Product,Material,자동차공급망_편집,현대트랜시스 / 구동차축 / Tier 1,1,confirmed,
R00142,E0010,E0047,Supplies,posco china,현대트랜시스,Supplier,Supplier,자동차공급망_편집,posco china -> 현대트랜시스,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00143,E0011,E0047,Supplies,jilin Ferroalloys,현대트랜시스,Supplier,Supplier,자동차공급망_편집,jilin Ferroalloys -> 현대트랜시스,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00144,E0044,E0141,Located_In,HL만도,중국,Supplier,Country,자동차공급망_편집,HL만도 / 조향장치 / Tier 1,1,confirmed,
R00145,E0044,E0156,Located_In,HL만도,쑤저우,Supplier,Region,자동차공급망_편집,HL만도 / 조향장치 / Tier 1,1,confirmed,
R00146,E0156,E0141,Located_In,쑤저우,중국,Region,Country,자동차공급망_편집,공장위치 쑤저우,1,confirmed,
R00147,E0044,E0001,Supplies,HL만도,Hyundai,Supplier,Company,자동차공급망_편집,HL만도 / 조향장치 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00148,E0044,E0102,Produces,HL만도,조향장치,Supplier,Product,자동차공급망_편집,HL만도 / 조향장치 / Tier 1,1,confirmed,
R00149,E0057,E0141,Located_In,에스엘,중국,Supplier,Country,자동차공급망_편집,에스엘 / 파미러 / Tier 1,1,confirmed,
R00150,E0057,E0157,Located_In,에스엘,톈진,Supplier,Region,자동차공급망_편집,에스엘 / 파미러 / Tier 1,1,confirmed,
R00151,E0157,E0141,Located_In,톈진,중국,Region,Country,자동차공급망_편집,공장위치 톈진,1,confirmed,
R00152,E0057,E0001,Supplies,에스엘,Hyundai,Supplier,Company,자동차공급망_편집,에스엘 / 파미러 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00153,E0057,E0120,Produces,에스엘,미러,Supplier,Product,자동차공급망_편집,에스엘 / 파미러 / Tier 1,1,confirmed,
R00154,E0065,E0141,Located_In,한온시스템,중국,Supplier,Country,자동차공급망_편집,한온시스템 / 라디에이터 / Tier 1,1,confirmed,
R00155,E0065,E0152,Located_In,한온시스템,상하이,Supplier,Region,자동차공급망_편집,한온시스템 / 라디에이터 / Tier 1,1,confirmed,
R00156,E0065,E0001,Supplies,한온시스템,Hyundai,Supplier,Company,자동차공급망_편집,한온시스템 / 라디에이터 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00157,E0065,E0122,Produces,한온시스템,라디에이터,Supplier,Product,자동차공급망_편집,한온시스템 / 라디에이터 / Tier 1,1,confirmed,
R00158,E0044,E0141,Located_In,HL만도,중국,Supplier,Country,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00159,E0044,E0158,Located_In,HL만도,옌청,Supplier,Region,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00160,E0158,E0141,Located_In,옌청,중국,Region,Country,자동차공급망_편집,공장위치 옌청,1,confirmed,
R00161,E0044,E0001,Supplies,HL만도,Hyundai,Supplier,Company,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00162,E0044,E0106,Produces,HL만도,브레이크,Supplier,Product,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00163,E0106,E0237,Requires_Material,브레이크,탄탈럼,Product,Material,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00164,E0106,E0236,Requires_Material,브레이크,텅스텐,Product,Material,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00165,E0106,E0235,Requires_Material,브레이크,망간,Product,Material,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00166,E0106,E0305,Requires_Material,브레이크,주석,Product,Material,자동차공급망_편집,HL만도 / 브레이크 / Tier 1,1,confirmed,
R00167,E0006,E0044,Supplies,Yunnan Tin,HL만도,Supplier,Supplier,자동차공급망_편집,Yunnan Tin -> HL만도,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00168,E0012,E0044,Supplies,교세라(AVX),HL만도,Supplier,Supplier,자동차공급망_편집,AVX -> HL만도,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00169,E0013,E0044,Supplies,KEMET,HL만도,Supplier,Supplier,자동차공급망_편집,KEMET -> HL만도,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00170,E0014,E0044,Supplies,Ningxia tianyuan Manganese,HL만도,Supplier,Supplier,자동차공급망_편집,Ningxia tianyuan Manganese -> HL만도,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00171,E0015,E0044,Supplies,Xiamen Tungsten,HL만도,Supplier,Supplier,자동차공급망_편집,Xiamen Tungsten -> HL만도,2,inferred,관련 공급업체는 해당 Tier1/업체에 공급하는 것으로 해석
R00172,E0040,E0141,Located_In,현대모비스,중국,Supplier,Country,자동차공급망_편집,현대모비스 / 브레이크부품 / Tier 1,1,confirmed,
R00173,E0040,E0159,Located_In,현대모비스,우시,Supplier,Region,자동차공급망_편집,현대모비스 / 브레이크부품 / Tier 1,1,confirmed,
R00174,E0159,E0141,Located_In,우시,중국,Region,Country,자동차공급망_편집,공장위치 우시,1,confirmed,
R00175,E0040,E0001,Supplies,현대모비스,Hyundai,Supplier,Company,자동차공급망_편집,현대모비스 / 브레이크부품 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00176,E0040,E0107,Produces,현대모비스,브레이크 부품,Supplier,Product,자동차공급망_편집,현대모비스 / 브레이크부품 / Tier 1,1,confirmed,
R00177,E0040,E0106,Produces,현대모비스,브레이크,Supplier,Product,자동차공급망_편집,현대모비스 / 브레이크부품 / Tier 1,1,confirmed,
R00178,E0040,E0141,Located_In,현대모비스,중국,Supplier,Country,자동차공급망_편집,현대모비스 / 에어백 / Tier 1,1,confirmed,
R00179,E0040,E0160,Located_In,현대모비스,창저우,Supplier,Region,자동차공급망_편집,현대모비스 / 에어백 / Tier 1,1,confirmed,
R00180,E0160,E0141,Located_In,창저우,중국,Region,Country,자동차공급망_편집,공장위치 창저우,1,confirmed,
R00181,E0040,E0001,Supplies,현대모비스,Hyundai,Supplier,Company,자동차공급망_편집,현대모비스 / 에어백 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00182,E0040,E0088,Produces,현대모비스,에어백,Supplier,Product,자동차공급망_편집,현대모비스 / 에어백 / Tier 1,1,confirmed,
R00183,E0043,E0141,Located_In,현대위아,중국,Supplier,Country,자동차공급망_편집,현대위아 / 바퀴축 / Tier 1,1,confirmed,
R00184,E0043,E0161,Located_In,현대위아,칭다오,Supplier,Region,자동차공급망_편집,현대위아 / 바퀴축 / Tier 1,1,confirmed,
R00185,E0161,E0141,Located_In,칭다오,중국,Region,Country,자동차공급망_편집,공장위치 칭다오,1,confirmed,
R00186,E0043,E0001,Supplies,현대위아,Hyundai,Supplier,Company,자동차공급망_편집,현대위아 / 바퀴축 / Tier 1,1,confirmed,Tier1 supplier -> Hyundai(E0001)
R00187,E0043,E0091,Produces,현대위아,바퀴축,Supplier,Product,자동차공급망_편집,현대위아 / 바퀴축 / Tier 1,1,confirmed,
R00188,E0003,E0141,Located_In,LG Electronics,중국,Supplier,Country,자동차공급망_편집,LG Electronics / CDS 수신기 / Tier 1,1,confirmed,
R00189,E0003,E0162,Located_In,LG Electronics,난징,Supplier,Region,자동차공급망_편집,LG Electronics / CDS 수신기 / Tier 1,1,confirmed,
R00190,E0162,E0141,Located_In,난징,중국,Region,Country,자동차공급망_편집,공장위치 난징,1,confirmed,
